,ID,ID_ORIGINAL,Age,Household_Size,Spy,Satisfaction_Level,Household_Income,Gender.Female,Gender.Male,Gender.nan,Foreign_Citizenship.No,Foreign_Citizenship.Yes,Foreign_Citizenship.nan,Frequent_Traveler.No,Frequent_Traveler.Yes,Frequent_Traveler.nan,Cellphone_Usage.Average,Cellphone_Usage.High,Cellphone_Usage.Low,Cellphone_Usage.nan,Occupation.Government,Occupation.Nothing,Occupation.Private company,Occupation.Public company,Occupation.Self-employed,Occupation.Student,Occupation.nan,Political_Participation.No involvement,Political_Participation.Some involvement,Political_Participation.Strong involvement,Political_Participation.nan,Social_Person.No,Social_Person.Yes,Social_Person.nan,Area_Residence.City,Area_Residence.Country-side,Area_Residence.nan,Military_Service.Intervention in Iraq,Military_Service.Intervention in Libya,Military_Service.Intervention in Syria,Military_Service.Never,Military_Service.nan
0,1000.0,467329.0,0.3098591549295775,0.0,1.0,0.375,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1,1001.0,461212.0,0.16901408450704225,0.625,0.0,0.0,0.7142857142857143,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2,1002.0,466216.0,0.15492957746478875,0.375,0.0,0.0,0.0714285714285714,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
3,1003.0,462613.0,0.23943661971830987,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
4,1004.0,465709.0,0.7042253521126761,0.125,1.0,0.375,0.0714285714285714,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
5,1005.0,466716.0,0.8591549295774649,0.0,1.0,0.875,0.0714285714285714,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
6,1006.0,466512.0,0.05633802816901412,0.125,0.0,0.125,0.0714285714285714,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
7,1007.0,466144.0,0.4225352112676056,0.3333333333333333,1.0,0.08333333333333333,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.3333333333333333,1.0,0.3333333333333333,0.6666666666666666,1.0,0.6666666666666666,0.3333333333333333,1.0,0.0,0.0,0.0,1.0,1.0
8,1008.0,466799.0,0.014084507042253558,0.25,0.0,0.0,0.1428571428571428,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
9,1009.0,465043.0,0.4225352112676056,0.5,1.0,0.0,0.6428571428571429,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
